ReferenceID,Block,Lot,BuildingAddress,NoticeDate,Neighborhood,PoliceDistrict,CouncilDistrict,Location
1610 040 052917,1610,040,812 N LAKEWOOD AVE,05/29/2017,Madison-Eastend,Eastern,13,"(39.30034267, -76.57980315)"
0219 005 052917,0219,005,911 W BALTIMORE ST,05/29/2017,Hollins Market,Southern,9,"(39.28859138, -76.63257399)"
0214 012 052917,0214,012,1423 W BALTIMORE ST,05/29/2017,Franklin Square,Western,9,"(39.2881952, -76.64039821)"
6166 086 053017,6166,086,643 N HIGHLAND AVE,05/30/2017,Ellwood Park/Monument,Southeastern,13,"(39.29919089, -76.56958457)"
6166 084 053017,6166,084,639 N HIGHLAND AVE,05/30/2017,Ellwood Park/Monument,Southeastern,13,"(39.29911235, -76.5695794)"
6159 045 053017,6159,045,431 N EAST AVE,05/30/2017,Ellwood Park/Monument,Southeastern,13,"(39.29683191, -76.57187504)"
3006 020 053017,3006,020,1915 N DUKELAND ST,05/30/2017,Walbrook,Southwestern,7,"(39.30995249, -76.66376396)"
2717A041 053017,2717A,041,4001 OAKFORD AVE,05/30/2017,Dorchester,Northwestern,6,"(39.33563982, -76.68534309)"
0226 017 053017,0226,017,1915 FREDERICK AVE,05/30/2017,Carrollton Ridge,Southern,9,"(39.28647079, -76.64730705)"
0207 016 053017,0207,016,27 S PAYSON ST,05/30/2017,Boyd-Booth,Southwestern,9,"(39.28719913, -76.64835348)"
0206 070 053017,0206,070,2024 BOOTH ST,05/30/2017,Boyd-Booth,Southwestern,9,"(39.2876073, -76.64946117)"
0197 043 053017,0197,043,12 N CALHOUN ST,05/30/2017,Franklin Square,Western,9,"(39.28900586, -76.63999674)"
0185 019 053017,0185,019,1036 W FAYETTE ST,05/30/2017,Poppleton,Western,9,"(39.29009844, -76.63492953)"
0185 018 053017,0185,018,1034 W FAYETTE ST,05/30/2017,Poppleton,Western,9,"(39.29010008, -76.63487829)"
0185 017 053017,0185,017,1032 W FAYETTE ST,05/30/2017,Poppleton,Western,9,"(39.29010156, -76.63482892)"
0150 029 053017,0150,029,1627 W MULBERRY ST,05/30/2017,Franklin Square,Western,9,"(39.29284188, -76.64374034)"
0149 015 053017,0149,015,328 N MOUNT ST,05/30/2017,Franklin Square,Western,9,"(39.29273502, -76.64427068)"
0089 003 053017,0089,003,1306 W LANVALE ST,05/30/2017,Harlem Park,Western,9,"(39.29806232, -76.6392551)"
0084 076 053017,0084,076,821 MCKEAN AVE,05/30/2017,Harlem Park,Western,9,"(39.29833507, -76.64651981)"
0076 020 053017,0076,020,939 N STRICKER ST,05/30/2017,Sandtown-Winchester,Western,9,"(39.2999223, -76.6412924)"
0076 018 053017,0076,018,935 N STRICKER ST,05/30/2017,Sandtown-Winchester,Western,9,"(39.2998344, -76.6412887)"
0065 036 053017,0065,036,1024 N CARROLLTON AVE,05/30/2017,Sandtown-Winchester,Western,9,"(39.30091531, -76.63779073)"
0058 005 053017,0058,005,1908 MOSHER ST,05/30/2017,Midtown-Edmondson,Western,9,"(39.30000663, -76.64792342)"
0041 042 053017,0041,042,1141 N FULTON AVE,05/30/2017,Sandtown-Winchester,Western,9,"(39.30189665, -76.64560274)"
0020 079 053017,0020,079,1546 MCKEAN AVE,05/30/2017,Sandtown-Winchester,Western,7,"(39.30610321, -76.6473582)"
0012 001 053017,0012,001,1601 N PAYSON ST,05/30/2017,Easterwood,Western,7,"(39.30667117, -76.64944915)"
0007 059 053017,0007,059,1738 APPLETON ST,05/30/2017,Easterwood,Western,7,"(39.30864102, -76.64921405)"
0002 025 053017,0002,025,1921 W NORTH AVE,05/30/2017,Easterwood,Western,7,"(39.30951634, -76.64878138)"
0304 032 053117,0304,032,2225 DRUID HILL AVE,05/31/2017,Druid Heights,Central,7,"(39.30964974, -76.63769494)"
0128 046 053117,0128,046,1018 W FRANKLIN ST,05/31/2017,Harlem Park,Western,9,"(39.29450161, -76.63471211)"
0128 042 053117,0128,042,1026 W FRANKLIN ST,05/31/2017,Harlem Park,Western,9,"(39.29449165, -76.63492186)"
0115 058 053117,0115,058,1027 BRANTLEY AVE,05/31/2017,Harlem Park,Western,9,"(39.29601546, -76.6349958)"
0107 037 053117,0107,037,1947 HARLEM AVE,05/31/2017,Midtown-Edmondson,Western,9,"(39.29611995, -76.64891068)"
7093 015 060117,7093,015,527 PONTIAC AVE,06/01/2017,Brooklyn,Southern,10,"(39.23527902, -76.60398965)"
3420 022 060117,3420,022,2500 EUTAW PL,06/01/2017,Reservoir Hill,Central,7,"(39.31482152, -76.63872999)"
1629 019O 060117,1629,019O,2925 E MADISON ST,06/01/2017,Madison-Eastend,Eastern,13,"(39.29997326, -76.57581262)"
0390 018 060117,0390,018,137 E NORTH AVE,06/01/2017,Greenmount West,Central,12,"(39.31083924, -76.61410691)"
0281 004 060117,0281,004,306 S WOODYEAR ST,06/01/2017,New Southwest/Mount Clare,Southern,9,"(39.28431528, -76.63878139)"
0258 042 060117,0258,042,2000 MCHENRY ST,06/01/2017,Carrollton Ridge,Southern,9,"(39.28434971, -76.64887818)"
0120 051 060117,0120,051,507 N MONROE ST,06/01/2017,Harlem Park,Western,9,"(39.29428799, -76.64701894)"
0013A032 060117,0013A,032,1607 N MONROE ST,06/01/2017,Sandtown-Winchester,Western,7,"(39.30683871, -76.64772865)"
7451 028 060217,7451,028,2624 ALASKA ST,06/02/2017,Westport,Southern,10,"(39.26159781, -76.63949268)"
7076 021 060217,7076,021,507 FREEMAN ST,06/02/2017,Brooklyn,Southern,10,"(39.2370774, -76.60322099)"
3950 011 060217,3950,011,2835 THE ALAMEDA ,06/02/2017,Coldstream Homestead Montebello,Notheastern,14,"(39.32450032, -76.59311468)"
0303 037 060217,0303,037,2218 DRUID HILL AVE,06/02/2017,Druid Heights,Central,7,"(39.30927288, -76.63791008)"
0292 006 060217,0292,006,1710 WILKENS AVE,06/02/2017,New Southwest/Mount Clare,Southern,9,"(39.28302731, -76.64446572)"
0280 061 060217,0280,061,311 S STRICKER ST,06/02/2017,New Southwest/Mount Clare,Southern,9,"(39.28416905, -76.64045802)"
0275 001 060217,0275,001,300 S FULTON AVE,06/02/2017,Carrollton Ridge,Southern,9,"(39.28418794, -76.64518039)"
0272 014 060217,0272,014,2127 MCHENRY ST,06/02/2017,Carrollton Ridge,Southwestern,9,"(39.2839132, -76.65053166)"
5934A041 060517,5934A,041,4252 NICHOLAS AVE,06/05/2017,Belair-Edison,Notheastern,2,"(39.32830229, -76.56263509)"
1464 016 060517,1464,016,2431 E LAFAYETTE AVE,06/05/2017,Broadway East,Eastern,13,"(39.31091829, -76.58339898)"
0313 015 060517,0313,015,527 BLOOM ST,06/05/2017,Upton,Central,11,"(39.30723003, -76.63738491)"
0309 042 060517,0309,042,2101 DRUID HILL AVE,06/05/2017,Druid Heights,Central,7,"(39.30850798, -76.63621965)"
0304 044 060517,0304,044,2201 DRUID HILL AVE,06/05/2017,Druid Heights,Central,7,"(39.30925711, -76.63724485)"
0303 039 060517,0303,039,2214 DRUID HILL AVE,06/05/2017,Druid Heights,Central,7,"(39.3092138, -76.63783719)"
6571 012 060717,6571,012,618 PONCA ST,06/07/2017,Greektown,Southeastern,1,"(39.28557749, -76.55512081)"
4011A019 060717,4011A,019,2035 ROBB ST,06/07/2017,East Baltimore Midway,Eastern,12,"(39.31371116, -76.60254985)"
4010N030 060717,4010N,030,2332 GARRETT AVE,06/07/2017,East Baltimore Midway,Eastern,12,"(39.31722311, -76.60080698)"
4010M008 060717,4010M,008,1015 BONAPARTE AVE,06/07/2017,East Baltimore Midway,Eastern,12,"(39.3158833, -76.60119428)"
1710 036 060717,1710,036,2613 E FAYETTE ST,06/07/2017,Patterson Park Neighborhood,Southeastern,1,"(39.29430219, -76.57977687)"
1611 067 060717,1611,067,811 N BELNORD AVE,06/07/2017,Madison-Eastend,Eastern,13,"(39.30053404, -76.57867957)"
1483 036 060717,1483,036,2237 E FEDERAL ST,06/07/2017,Broadway East,Eastern,13,"(39.30867709, -76.5862242)"
1464 023 060717,1464,023,1730 N MILTON AVE,06/07/2017,Broadway East,Eastern,13,"(39.31070892, -76.58328145)"
0376 012 060717,0376,012,1426 DRUID HILL AVE,06/07/2017,Upton,Central,11,"(39.30321466, -76.63046117)"
0339 005 060717,0339,005,1708 DRUID HILL AVE,06/07/2017,Upton,Central,11,"(39.30519095, -76.63289743)"
0258 056 060717,0258,056,202 HARMISON ST,06/07/2017,Carrollton Ridge,Southern,9,"(39.28465241, -76.64934702)"
7445 028 060817,7445,028,2355 SIDNEY AVE,06/08/2017,Westport,Southern,10,"(39.26163829, -76.63354295)"
3422 023C 060817,3422,023C,2316 MADISON AVE,06/08/2017,Reservoir Hill,Central,7,"(39.31190658, -76.63755662)"
3209 040 060817,3209,040,2017 N MONROE ST,06/08/2017,Mondawmin,Western,7,"(39.31154633, -76.64800505)"
4613 011 060917,4613,011,3031 W GARRISON AVE,06/09/2017,Central Park Heights,Northwestern,6,"(39.34801376, -76.67205676)"
3855 012 060917,3855,012,2948 GREENMOUNT AVE,06/09/2017,Abell,Northern,12,"(39.32446382, -76.60969163)"
7841 028 061017,7841,028,1909 GRIFFIS AVE,06/10/2017,Morrell Park,Southwestern,10,"(39.26791322, -76.65057746)"
4010H005 061017,4010H,005,1108 DARLEY AVE,06/10/2017,East Baltimore Midway,Eastern,12,"(39.31672251, -76.59942718)"
1677 059 061017,1677,059,435 N CURLEY ST,06/10/2017,Ellwood Park/Monument,Southeastern,13,"(39.29657529, -76.57558432)"
1478 069 061017,1478,069,1511 N DURHAM ST,06/10/2017,Broadway East,Eastern,12,"(39.30806758, -76.59198453)"
1466 081 061017,1466,081,1604 N REGESTER ST,06/10/2017,Broadway East,Eastern,12,"(39.30896137, -76.59418807)"
4614 009 061117,4614,009,4901 QUEENSBERRY AVE,06/11/2017,Central Park Heights,Northwestern,6,"(39.34836682, -76.67038064)"
0708 057 061117,0708,057,414 S STRICKER ST,06/11/2017,New Southwest/Mount Clare,Southern,9,"(39.28277514, -76.64088362)"
0012 084 061117,0012,084,1632 N MONROE ST,06/11/2017,Easterwood,Western,7,"(39.30731942, -76.64826784)"
3639 023 061217,3639,023,319 W 27TH ST,06/12/2017,Remington,Northern,12,"(39.32007966, -76.62094669)"
3638 045 061417,3638,045,2604 MARYLAND AVE,06/14/2017,Charles Village,Northern,12,"(39.31948973, -76.61872439)"
3638 044 061417,3638,044,2606 MARYLAND AVE,06/14/2017,Charles Village,Northern,12,"(39.31953502, -76.61872734)"
3638 043 061417,3638,043,2608 MARYLAND AVE,06/14/2017,Charles Village,Northern,12,"(39.3195766, -76.61873001)"
3400 046 061417,3400,046,1913 N FULTON AVE,06/14/2017,Penn North,Western,7,"(39.31054586, -76.6460804)"
0328 010 061417,0328,010,1818 DRUID HILL AVE,06/14/2017,Druid Heights,Central,11,"(39.30612212, -76.63403396)"
1647 002C 061517,1647,002C,3107 E MONUMENT ST,06/15/2017,Ellwood Park/Monument,Southeastern,13,"(39.29900618, -76.5735143)"
1459 086 061517,1459,086,1719 N WASHINGTON ST,06/15/2017,Broadway East,Eastern,12,"(39.31024215, -76.59001702)"
1338 005 061517,1338,005,1107 E FAYETTE ST,06/15/2017,Jonestown,Southeastern,12,"(39.29161286, -76.60193407)"
7644 054 061617,7644,054,2853 BOOKERT DR,06/16/2017,Cherry Hill,Southern,10,"(39.24638744, -76.62663806)"
6993 032 061617,6993,032,6523 PARNELL AVE,06/16/2017,Saint Helena,Southeastern,1,"(39.2588025, -76.53128898)"
5137E067 061617,5137E,067,6130 MACBETH DR,06/16/2017,Glen Oaks,Northern,4,"(39.36890912, -76.59788364)"
3214 027 061617,3214,027,2005 RUXTON AVE,06/16/2017,Mondawmin,Western,7,"(39.31082074, -76.65471775)"
3186 020 061617,3186,020,2928 GRANTLEY AVE,06/16/2017,Towanda-Grantley,Northwestern,6,"(39.33692958, -76.6689877)"
1474 015A 061617,1474,015A,1602 N MILTON AVE,06/16/2017,Broadway East,Eastern,13,"(39.30913809, -76.58318551)"
4001 029 061717,4001,029,729 E 20TH ST,06/17/2017,East Baltimore Midway,Eastern,12,"(39.31238554, -76.60747176)"
1655 003 061717,1655,003,2404 JEFFERSON ST,06/17/2017,McElderry Park,Southeastern,13,"(39.29683737, -76.58336421)"
1625 046 061717,1625,046,710 N LUZERNE AVE,06/17/2017,Milton-Montford,Eastern,13,"(39.29941795, -76.58116044)"
3230 030 061817,3230,030,2312 AVALON AVE,06/18/2017,Parkview/Woodbrook,Western,7,"(39.31547365, -76.64529486)"
3229 029 061817,3229,029,2313 AVALON AVE,06/18/2017,Parkview/Woodbrook,Western,7,"(39.31519824, -76.64500631)"
1446 098 061817,1446,098,1813 N REGESTER ST,06/18/2017,Broadway East,Eastern,12,"(39.31122772, -76.59382451)"
1612 021 062017,1612,021,2818 E MADISON ST,06/20/2017,Madison-Eastend,Eastern,13,"(39.30027646, -76.57757342)"
2518 060 062117,2518,060,815 WICKLOW ROAD,06/21/2017,Rognel Heights,Southwestern,8,"(39.29632864, -76.68802761)"
2809 001 062217,2809,001,3600 CLIFTON AVE,06/22/2017,Mount Holly,Southwestern,7,"(39.31114041, -76.67821137)"
2507 003 062217,2507,003,704 MOUNT HOLLY ST,06/22/2017,Edmondson Village,Southwestern,8,"(39.29536656, -76.68010741)"
1866 065 062217,1866,065,818 S GLOVER ST,06/22/2017,Canton,Southeastern,1,"(39.28243392, -76.57928469)"
0430 030 062217,0430,030,846 HARLEM AVE,06/22/2017,Upton,Central,11,"(39.29708418, -76.63215985)"
0314 018 062217,0314,018,2034 DRUID HILL AVE,06/22/2017,Druid Heights,Central,11,"(39.30795078, -76.63631213)"
0096 094 062217,0096,094,1812 RAYNER AVE,06/22/2017,Harlem Park,Western,9,"(39.29715426, -76.64670885)"
4511A043 062317,4511A,043,5331 CORDELIA AVE,06/23/2017,Arlington,Northwestern,5,"(39.34818438, -76.68380184)"
2503 052 062317,2503,052,723 LINNARD ST,06/23/2017,Edgewood,Southwestern,8,"(39.29584646, -76.67556462)"
2171 017 062317,2171,017,2533 W BALTIMORE ST,06/23/2017,Shipley Hill,Southwestern,9,"(39.28750846, -76.65706318)"
4798 034 062517,4798,034,2703 OAKLEY AVE,06/25/2017,Cylburn,Northern,6,"(39.34869655, -76.66371004)"
4607 065 062517,4607,065,3603 LUCILLE AVE,06/25/2017,Central Park Heights,Northwestern,6,"(39.34231914, -76.67413972)"
4094 017 062517,4094,017,1142 MONTPELIER ST,06/25/2017,Better Waverly,Northern,14,"(39.32415929, -76.6020818)"
3646 060 062517,3646,060,2735 N HOWARD ST,06/25/2017,Charles Village,Northern,12,"(39.32166269, -76.61971919)"
3646 043 062517,3646,043,2701 N HOWARD ST,06/25/2017,Charles Village,Northern,12,"(39.32090315, -76.61966947)"
3347D014 062517,3347D,014,2626 LOYOLA SOUTHWAY ,06/25/2017,Greenspring,Northern,6,"(39.3371779, -76.66200525)"
1468 024 062517,1468,024,1901 E LANVALE ST,06/25/2017,Broadway East,Eastern,12,"(39.30954108, -76.5911404)"
1447 030 062517,1447,030,1817 E NORTH AVE,06/25/2017,Broadway East,Eastern,12,"(39.31198345, -76.5924984)"
4017 005 062617,4017,005,708 E 20TH ST,06/26/2017,East Baltimore Midway,Eastern,12,"(39.31278853, -76.60802592)"
3454 008 062817,3454,008,2311 CALLOW AVE,06/28/2017,Reservoir Hill,Central,7,"(39.31399304, -76.63106366)"
2206B026 062817,2206B,026,2504 LAURETTA AVE,06/28/2017,Rosemont Homeowners/Tenants,Western,9,"(39.29418343, -76.65653356)"
1335 023 062817,1335,023,24 N HIGH ST,06/28/2017,Jonestown,Southeastern,12,"(39.29087747, -76.60473145)"
0328 001 062817,0328,001,1800 DRUID HILL AVE,06/28/2017,Druid Heights,Central,11,"(39.30588017, -76.63368118)"
0293 043 062817,0293,043,1711 N CALHOUN ST,06/28/2017,Sandtown-Winchester,Western,7,"(39.3084721, -76.64372423)"
0129 112 062817,0129,112,914 BENNETT PL,06/28/2017,Harlem Park,Western,9,"(39.2951712, -76.63280942)"
0129 110 062817,0129,110,918 BENNETT PL,06/28/2017,Harlem Park,Western,9,"(39.29516588, -76.63290883)"
0129 107 062817,0129,107,924 BENNETT PL,06/28/2017,Harlem Park,Western,9,"(39.29515795, -76.63305993)"
0129 104 062817,0129,104,930 BENNETT PL,06/28/2017,Harlem Park,Western,9,"(39.29514999, -76.63320845)"
0129 073 062817,0129,073,921 BENNETT PL,06/28/2017,Harlem Park,Western,9,"(39.29482787, -76.63282975)"
0115 009 062817,0115,009,1017 HARLEM AVE,06/28/2017,Harlem Park,Western,9,"(39.29660334, -76.63483706)"
0084 008 062817,0084,008,814 N FULTON AVE,06/28/2017,Harlem Park,Western,9,"(39.29803571, -76.64606382)"
0080 002 062817,0080,002,1002 W LAFAYETTE AVE,06/28/2017,Sandtown-Winchester,Western,9,"(39.2994447, -76.63487361)"
0073 049 062817,0073,049,1720 W LAFAYETTE AVE,06/28/2017,Sandtown-Winchester,Western,9,"(39.29910525, -76.64506707)"
0060 005 062817,0060,005,1008 N MOUNT ST,06/28/2017,Sandtown-Winchester,Western,9,"(39.30019518, -76.64470352)"
0059 011 062817,0059,011,1020 N FULTON AVE,06/28/2017,Sandtown-Winchester,Western,9,"(39.30041389, -76.64621618)"
0032 001 062817,0032,001,1300 N MOUNT ST,06/28/2017,Sandtown-Winchester,Western,7,"(39.30330114, -76.64491184)"
0006 038B 062817,0006,038B,2018 PRESBURY ST,06/28/2017,Easterwood,Western,7,"(39.3079672, -76.65071857)"
0005 051 062817,0005,051,1804 N CAREY ST,06/28/2017,Sandtown-Winchester,Western,7,"(39.30954095, -76.64401684)"
0002 016 062817,0002,016,1903 W NORTH AVE,06/28/2017,Easterwood,Western,7,"(39.30953366, -76.64833768)"
6159A048 062917,6159A,048,408 N CLINTON ST,06/29/2017,Ellwood Park/Monument,Southeastern,13,"(39.29613655, -76.57080481)"
6156 034 062917,6156,034,515 N EAST AVE,06/29/2017,Ellwood Park/Monument,Southeastern,13,"(39.29752247, -76.57191941)"
2382 038 062917,2382,038,2712 PROSPECT ST,06/29/2017,Mosher,Western,9,"(39.29881037, -76.66238904)"
2171 018 062917,2171,018,2535 W BALTIMORE ST,06/29/2017,Shipley Hill,Southwestern,9,"(39.28750635, -76.65711252)"
1692 030 062917,1692,030,2607 ORLEANS ST,06/29/2017,McElderry Park,Southeastern,13,"(39.29550764, -76.58010278)"
1673 062 062917,1673,062,407 N ROSE ST,06/29/2017,McElderry Park,Southeastern,13,"(39.29606914, -76.58123227)"
1662 036 062917,1662,036,504 N ROBINSON ST,06/29/2017,Ellwood Park/Monument,Southeastern,13,"(39.29725529, -76.57316952)"
1656 059 062917,1656,059,504 N ROSE ST,06/29/2017,McElderry Park,Southeastern,13,"(39.29713436, -76.58166073)"
1653 044 062917,1653,044,2229 MCELDERRY ST,06/29/2017,CARE,Eastern,13,"(39.29741723, -76.58573316)"
1647 004 062917,1647,004,3131 E MONUMENT ST,06/29/2017,Ellwood Park/Monument,Southeastern,13,"(39.29903456, -76.57272542)"
1646 025 062917,1646,025,3023 E MONUMENT ST,06/29/2017,Ellwood Park/Monument,Southeastern,13,"(39.29897141, -76.57431897)"
1644 037 062917,1644,037,608 N STREEPER ST,06/29/2017,McElderry Park,Southeastern,13,"(39.29817883, -76.57748138)"
1643 067 062917,1643,067,617 N BELNORD AVE,06/29/2017,McElderry Park,Southeastern,13,"(39.29829388, -76.57853142)"
1642 068 062917,1642,068,603 N LUZERNE AVE,06/29/2017,McElderry Park,Southeastern,13,"(39.29818009, -76.58059143)"
1642 050 062917,1642,050,2615 E MONUMENT ST,06/29/2017,McElderry Park,Southeastern,13,"(39.2987299, -76.58040145)"
1642 034 062917,1642,034,622 N LAKEWOOD AVE,06/29/2017,McElderry Park,Southeastern,13,"(39.29857876, -76.57969109)"
1642 018 062917,1642,018,2634 MCELDERRY ST,06/29/2017,McElderry Park,Southeastern,13,"(39.29802278, -76.57974813)"
1640 063 062917,1640,063,2412 MCELDERRY ST,06/29/2017,McElderry Park,Southeastern,13,"(39.29788738, -76.58319356)"
1557 014 062917,1557,014,2626 E CHASE ST,06/29/2017,Biddle Street,Eastern,13,"(39.30396295, -76.58036128)"
1551 020 062917,1551,020,2033 E BIDDLE ST,06/29/2017,Middle East,Eastern,12,"(39.30433398, -76.58862888)"
1551 015 062917,1551,015,2023 E BIDDLE ST,06/29/2017,Middle East,Eastern,12,"(39.30432476, -76.58887763)"
1215 034 062917,1215,034,1630 ASHLAND AVE,06/29/2017,Gay Street,Eastern,12,"(39.30064263, -76.59527617)"
1169 020 062917,1169,020,1120 HOMEWOOD AVE,06/29/2017,Johnston Square,Eastern,12,"(39.30330095, -76.60674611)"
1168 025 062917,1168,025,601 E BIDDLE ST,06/29/2017,Johnston Square,Eastern,12,"(39.30353306, -76.60877167)"
1168 023 062917,1168,023,605 E BIDDLE ST,06/29/2017,Johnston Square,Eastern,12,"(39.30354055, -76.6086596)"
1168 018 062917,1168,018,615 E BIDDLE ST,06/29/2017,Johnston Square,Eastern,12,"(39.30358252, -76.60833132)"
1154 022 062917,1154,022,602 E BIDDLE ST,06/29/2017,Johnston Square,Eastern,12,"(39.30390455, -76.60906384)"
1154 021 062917,1154,021,600 E BIDDLE ST,06/29/2017,Johnston Square,Eastern,12,"(39.30390217, -76.60911009)"
1152 021 062917,1152,021,430 E BIDDLE ST,06/29/2017,Johnston Square,Eastern,12,"(39.30388606, -76.60960421)"
1125 042 062917,1125,042,1419 E FEDERAL ST,06/29/2017,Oliver,Eastern,12,"(39.30818294, -76.59914984)"
1125 035 062917,1125,035,1433 E FEDERAL ST,06/29/2017,Oliver,Eastern,12,"(39.3081904, -76.5987452)"
1125 034 062917,1125,034,1435 E FEDERAL ST,06/29/2017,Oliver,Eastern,12,"(39.30819183, -76.59869895)"
1099A049 062917,1099A,049,1829 AISQUITH ST,06/29/2017,Oliver,Eastern,12,"(39.31116443, -76.60235337)"
0159A033 062917,0159A,033,2219 W SARATOGA ST,06/29/2017,Penrose/Fayette Street Outreach,Western,9,"(39.29159964, -76.65228779)"
6111 056 063017,6111,056,4008 LYNDALE AVE,06/30/2017,Belair-Edison,Notheastern,13,"(39.31901483, -76.55952658)"
3815 060 063017,3815,060,426 E 22ND ST,06/30/2017,Barclay,Eastern,12,"(39.31478459, -76.61032439)"
2533 044 063017,2533,044,405 YALE AVE,06/30/2017,Irvington,Southwestern,8,"(39.27976426, -76.68522203)"
1657 013 063017,1657,013,525 N LUZERNE AVE,06/30/2017,McElderry Park,Southeastern,13,"(39.29735144, -76.5805366)"
0576 015 063017,0576,015,317 N PACA ST,06/30/2017,Downtown,Central,11,"(39.29329741, -76.62213679)"
6152 036 070217,6152,036,601 N EAST AVE,07/02/2017,Ellwood Park/Monument,Southeastern,13,"(39.29846202, -76.57198)"
6019 029 070217,6019,029,5722 NEWHOLME AVE,07/02/2017,Frankford,Notheastern,2,"(39.33840996, -76.53739634)"
5843 033 070217,5843,033,4025 BELWOOD AVE,07/02/2017,Waltherson,Notheastern,2,"(39.33720747, -76.55494977)"
4198B011 070217,4198B,011,3031 WEAVER AVE,07/02/2017,Arcadia,Notheastern,3,"(39.33676983, -76.57207043)"
3630A111 070217,3630A,111,2600 HUNTINGDON AVE,07/02/2017,Remington,Northern,12,"(39.31880837, -76.62162144)"
2934 004 070217,2934,004,3601 GARRISON BLVD,07/02/2017,Callaway-Garrison,Northwestern,6,"(39.32951526, -76.68194706)"
1670 040 070217,1670,040,434 N PATTERSON PARK AVE,07/02/2017,CARE,Eastern,13,"(39.29619805, -76.585234)"
1670 028 070217,1670,028,2233 JEFFERSON ST,07/02/2017,CARE,Eastern,13,"(39.2964152, -76.58551054)"
1660 045 070217,1660,045,529 N CURLEY ST,07/02/2017,Ellwood Park/Monument,Southeastern,13,"(39.2975709, -76.57561071)"
1627 018 070217,1627,018,735 N LAKEWOOD AVE,07/02/2017,Madison-Eastend,Eastern,13,"(39.29970141, -76.57927616)"
1622 009 070217,1622,009,734 N PATTERSON PARK AVE,07/02/2017,Middle East,Eastern,13,"(39.29943772, -76.58543676)"
1613 028 070217,1613,028,800 N CURLEY ST,07/02/2017,Madison-Eastend,Eastern,13,"(39.30048711, -76.57621895)"
1608 089 070217,1608,089,811 N PORT ST,07/02/2017,Milton-Montford,Eastern,13,"(39.30037653, -76.58292228)"
1608 044 070217,1608,044,816 N MILTON AVE,07/02/2017,Milton-Montford,Eastern,13,"(39.30051093, -76.58265312)"
1595 091 070217,1595,091,921 N STREEPER ST,07/02/2017,Madison-Eastend,Eastern,13,"(39.30189172, -76.57735232)"
1570 037 070217,1570,037,1014 N PATTERSON PARK AVE,07/02/2017,Middle East,Eastern,13,"(39.30274863, -76.58561328)"
1570 032 070217,1570,032,1024 N PATTERSON PARK AVE,07/02/2017,Middle East,Eastern,13,"(39.30292595, -76.5856218)"
1555 044 070217,1555,044,1105 N MONTFORD AVE,07/02/2017,Biddle Street,Eastern,13,"(39.30405276, -76.58377309)"
1542 014 070217,1542,014,1227 N LINWOOD AVE,07/02/2017,Berea,Eastern,13,"(39.30564031, -76.57680928)"
1455 029 070217,1455,029,1651 N MILTON AVE,07/02/2017,Berea,Eastern,13,"(39.31006991, -76.58256179)"
1455 027 070217,1455,027,1647 N MILTON AVE,07/02/2017,Berea,Eastern,13,"(39.30999898, -76.58255892)"
1177 032 070217,1177,032,1125 N CAROLINE ST,07/02/2017,Gay Street,Eastern,12,"(39.30388784, -76.59754687)"
1164B030 070217,1164B,030,1123 N BOND ST,07/02/2017,Gay Street,Eastern,12,"(39.30390674, -76.59628622)"
1155 048 070217,1155,048,1204 HOMEWOOD AVE,07/02/2017,Johnston Square,Eastern,12,"(39.30420223, -76.60678798)"
1114 010 070217,1114,010,1218 E FEDERAL ST,07/02/2017,Oliver,Eastern,12,"(39.30845674, -76.6015833)"
1102 014 070217,1102,014,1815 N BOND ST,07/02/2017,Oliver,Eastern,12,"(39.31101209, -76.59672575)"
1101 010 070217,1101,010,1819 N CAROLINE ST,07/02/2017,Oliver,Eastern,12,"(39.31100534, -76.59811219)"
3000 005 070317,3000,005,3308 W NORTH AVE,07/03/2017,Walbrook,Southwestern,7,"(39.30920039, -76.67313804)"
4092 057 070517,4092,057,3017 REESE ST,07/05/2017,Better Waverly,Northern,14,"(39.3239585, -76.60495878)"
2411 004 070517,2411,004,1706 POPLAR GROVE ST,07/05/2017,Northwest Community Action,Southwestern,7,"(39.30743475, -76.66593014)"
3024 017 070617,3024,017,2814 CLIFTON AVE,07/06/2017,Panway/Braddish Avenue,Western,7,"(39.31163641, -76.66482531)"
2906 013 070617,2906,013,3708 FAIRVIEW AVE,07/06/2017,Forest Park,Northwestern,6,"(39.32410276, -76.68116886)"
2307 003 070617,2307,003,2357 W NORTH AVE,07/06/2017,Coppin Heights/Ash-Co-East,Western,7,"(39.30923488, -76.65568986)"
0055D043 070617,0055D,043,1129 N CARROLLTON AVE,07/06/2017,Sandtown-Winchester,Western,9,"(39.301858, -76.63719971)"
7269 045 070717,7269,045,1349 CAMBRIA ST,07/07/2017,Curtis Bay,Southern,10,"(39.23203139, -76.59126194)"
5691 007 070717,5691,007,3910 WHITE AVE,07/07/2017,Glenham-Belhar,Notheastern,2,"(39.34650414, -76.54589347)"
4552 123 070717,4552,123,5205 ELMER AVE,07/07/2017,Arlington,Northwestern,5,"(39.34831319, -76.67846874)"
4178J005 070717,4178J,005,3409 LYNDALE AVE,07/07/2017,Four By Four,Notheastern,13,"(39.31630649, -76.57550439)"
3403 027 070717,3403,027,2731 PENNSYLVANIA AVE,07/07/2017,Penn North,Western,7,"(39.31321686, -76.64591988)"
